n: 64
Median: 1871.5
Mean: 2531.859375
Std: 2079.71513499436
Number of terminated evaluations (iters > n ^ 3): 0
[  979,  1379,  2818,  1560,  3009,  2043,  4346,  1795,   663,  1787,
  1358,   591,  4202,  4203,  3621,  3453,  1444,  3591,  3833,  2069,
  3268,  3086,  1828, 12627,   677, 11382,  1234,  2954,   500,  2909,
   800,   828,  1505,  4729,   619,  2338,  6972,   485,   852,  1280,
  1366,  2757,  4144,  1316,  1040,   315,  3327,  2041,   543,  5452,
   583,  1039,  2784,  3174,  6202,   929,  3877,  1303,  3042,  1454,
  5722,  2467,  3157,  5111,  5527,  1147,  2446,  2610,  2746,  3057,
  1915,   597,  2390,  1324,  1617,  3315,  4345,   594,   722,  2896,
  3180,   652,  6181,  1355,  1413,  1765,  2356,   837,  1095,  1102,
   585,  2366,   780,  1966,   656,  3326,  2969,  1410,   619,  1735,
  1022,   765,  6485,  1743,  1161,  7737,  1271,  2915,  7838,  1202,
  3372,  1551,  1196,  3425,  5657,  4418,   850,   564,   628,  1472,
   401,  2600,  4143,  6772,  2469,  4237,   595,  1231]
