n: 2048
lambda: 7
Median: 1707.0
Mean: 1747.2890625
Std: 170.7142235736996
Number of terminated evaluations (iters > n ^ 2): 0
[1509, 2025, 1701, 1690, 1715, 1649, 1627, 1590, 1682, 1621, 2056, 1653,
 1745, 1737, 1711, 1554, 1531, 1685, 1809, 1758, 1620, 1746, 1996, 1524,
 1834, 1719, 1799, 1665, 1919, 2218, 1564, 2070, 1562, 2040, 1556, 1604,
 1806, 2176, 1676, 1764, 1813, 2006, 1754, 1731, 1721, 1699, 1633, 1470,
 1694, 1951, 2014, 1616, 1846, 1737, 1643, 1605, 1759, 1699, 1907, 1612,
 1635, 1709, 1676, 1444, 1949, 1742, 1857, 1638, 1955, 1687, 1968, 1929,
 1666, 1637, 1736, 1733, 1543, 2132, 1811, 1583, 1592, 1451, 1680, 1681,
 1800, 1569, 1632, 1591, 1727, 1883, 1531, 1896, 1855, 1812, 1646, 1554,
 1817, 1819, 1808, 1588, 1674, 1637, 1628, 1651, 1803, 1663, 1905, 2220,
 1577, 1809, 1765, 1785, 1926, 1688, 2217, 1962, 1983, 1659, 1753, 1628,
 1646, 1579, 1599, 1705, 1853, 1576, 1700, 2284]
