d=1024	 lambda=16	 n=2048
run=0
1024	 1024	 False
1023	 1024	 False
1022	 1022	 False
1021	 1021	 False
1022	 1022	 False
1022	 1022	 False
1019	 1019	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1021	 1022	 False
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1020	 1020	 False
1024	 1024	 False
run=1
1022	 1022	 False
1022	 1022	 False
1023	 1023	 False
1024	 1024	 False
1020	 1020	 False
1022	 1022	 False
1022	 1022	 False
1022	 1022	 False
1020	 1020	 False
1022	 1022	 False
1025	 1025	 True
1024	 1023	 False
1022	 1022	 False
1021	 1021	 False
1020	 1020	 False
1022	 1021	 False
run=2
1024	 1024	 False
1022	 1022	 False
1022	 1022	 False
1021	 1021	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1022	 1022	 False
1023	 1023	 False
1024	 1024	 False
1025	 1025	 True
1022	 1023	 False
1023	 1023	 False
1019	 1019	 False
1021	 1021	 False
1023	 1023	 False
run=3
1024	 1024	 False
1018	 1018	 False
1023	 1023	 False
1019	 1019	 False
1024	 1024	 False
1024	 1024	 False
1024	 1023	 False
1022	 1022	 False
1025	 1025	 True
1023	 1023	 False
1024	 1024	 False
1022	 1022	 False
1024	 1024	 False
1023	 1023	 False
1022	 1022	 False
1021	 1021	 False
run=4
1024	 1024	 False
1020	 1020	 False
1023	 1023	 False
1023	 1023	 False
1021	 1021	 False
1024	 1024	 False
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
1022	 1022	 False
1021	 1021	 False
1025	 1025	 True
1024	 1024	 False
1022	 1022	 False
1022	 1022	 False
1024	 1024	 False
run=5
1021	 1021	 False
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1023	 1023	 False
1020	 1020	 False
1023	 1023	 False
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1023	 1023	 False
run=6
1023	 1023	 False
1023	 1023	 False
1024	 1024	 False
1020	 1020	 False
1020	 1020	 False
1024	 1024	 False
1021	 1021	 False
1021	 1021	 False
1023	 1023	 False
1020	 1020	 False
1025	 1025	 True
1021	 1021	 False
1018	 1018	 False
1023	 1022	 False
1023	 1023	 False
1023	 1023	 False
run=7
1021	 1021	 False
1024	 1024	 False
1022	 1022	 False
1023	 1023	 False
1024	 1024	 False
1023	 1022	 False
1023	 1023	 False
1025	 1025	 True
1020	 1021	 False
1021	 1021	 False
1025	 1025	 True
1023	 1023	 False
1021	 1021	 False
1022	 1022	 False
1020	 1020	 False
1024	 1024	 False
run=8
1020	 1019	 False
1020	 1020	 False
1020	 1020	 False
1024	 1024	 False
1024	 1024	 False
1023	 1023	 False
1024	 1024	 False
1021	 1021	 False
1024	 1024	 False
1021	 1021	 False
1022	 1022	 False
1022	 1022	 False
1021	 1021	 False
1020	 1020	 False
1023	 1023	 False
1021	 1021	 False
run=9
1021	 1021	 False
1023	 1023	 False
1022	 1022	 False
1020	 1020	 False
1023	 1023	 False
1024	 1023	 False
1025	 1025	 True
1021	 1021	 False
1024	 1024	 False
1024	 1024	 False
1024	 1024	 False
1019	 1019	 False
1024	 1024	 False
1019	 1019	 False
1022	 1022	 False
1023	 1023	 False
run=10
1021	 1021	 False
1024	 1024	 False
1024	 1024	 False
1023	 1023	 False
1024	 1024	 False
1022	 1022	 False
1022	 1022	 False
1024	 1025	 False
1024	 1024	 False
1023	 1023	 False
1022	 1022	 False
1024	 1024	 False
1021	 1021	 False
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
run=11
1023	 1023	 False
1023	 1023	 False
1021	 1021	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1023	 1023	 False
1023	 1022	 False
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
run=12
1024	 1024	 False
1023	 1023	 False
1024	 1024	 False
1022	 1022	 False
1022	 1022	 False
1022	 1022	 False
1021	 1021	 False
