d=1024	 lambda=16	 n=2048
run=0
1021	 1021	 False
1022	 1022	 False
1021	 1021	 False
1025	 1025	 True
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
1024	 1024	 False
1024	 1024	 False
1023	 1023	 False
1023	 1023	 False
1020	 1020	 False
1024	 1024	 False
1024	 1024	 False
1022	 1022	 False
1021	 1021	 False
run=1
1024	 1024	 False
1022	 1022	 False
1022	 1022	 False
1022	 1022	 False
1024	 1024	 False
1019	 1019	 False
1021	 1021	 False
1017	 1017	 False
1022	 1021	 False
1023	 1023	 False
1024	 1024	 False
1021	 1021	 False
1023	 1023	 False
1023	 1023	 False
1024	 1025	 False
1022	 1022	 False
run=2
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
1024	 1024	 False
1022	 1022	 False
1023	 1022	 False
1022	 1022	 False
1023	 1023	 False
1024	 1024	 False
1022	 1022	 False
1021	 1021	 False
1023	 1023	 False
1024	 1024	 False
run=3
1023	 1023	 False
1020	 1020	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1022	 1022	 False
1023	 1023	 False
1023	 1023	 False
1020	 1021	 False
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1022	 1022	 False
run=4
1023	 1023	 False
1023	 1023	 False
1022	 1022	 False
1021	 1021	 False
1023	 1023	 False
1021	 1021	 False
1021	 1021	 False
1022	 1022	 False
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
1022	 1022	 False
1024	 1024	 False
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
run=5
1023	 1023	 False
1023	 1023	 False
1021	 1020	 False
1023	 1023	 False
1023	 1023	 False
1021	 1021	 False
1024	 1024	 False
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
1023	 1023	 False
1020	 1021	 False
1024	 1024	 False
1024	 1024	 False
1024	 1024	 False
1021	 1021	 False
run=6
1023	 1023	 False
1024	 1024	 False
1023	 1023	 False
1022	 1022	 False
1023	 1023	 False
1021	 1021	 False
1024	 1023	 False
1022	 1022	 False
1022	 1021	 False
1024	 1023	 False
1025	 1025	 True
1022	 1022	 False
1020	 1020	 False
1024	 1024	 False
1024	 1024	 False
1024	 1024	 False
run=7
1022	 1022	 False
1024	 1024	 False
1023	 1023	 False
